Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
anyWR;anyWR v170+4.5 -VRP;com.anywr.anywr;170;2023-10-09 11:37 UTC;119
Apex Construct;Apex Construct v56+56.0 -VRP;com.fasttravelgames.apexconstruct;56;2023-04-17 15:51 UTC;1330
Apollo 11;Apollo 11 v22+2.3 -VRP;com.immersivevreducation.Apollo11QuestFinal;22;2023-08-16 12:27 UTC;1868
Aquascape;Aquascape v55+0.4.3 -VRP;com.DevsUnitedGames.Aquascape;55;2023-10-14 20:48 UTC;248
Arcade Legend;Arcade Legend v12430034+2.2.12430034 -VRP;com.LAIGames.ArcadeLegend;12430034;2023-09-23 18:31 UTC;710
Arcaxer;Arcaxer v215+1.43.49 -VRP;com.Overrungames.Arcaxer;215;2023-08-05 15:23 UTC;1185
Archery Land;Archery Land v12+1.0 -VRP;com.Looksten.ArcheryLand;12;2023-04-15 21:55 UTC;603
Arcsmith;Arcsmith v128+1.128 -VRMOO;com.BithellGames.Arcsmith;128;2023-03-09 12:57 UTC;684
AREA MAN LIVES;AREA MAN LIVES v194+1.2.4 -VRP;com.cyanventures.AreaManLives;194;2023-04-17 16:04 UTC;483
Aria;Aria v10+1.2 -VRP R2;com.BlueRibbon.Aria;10;2023-04-17 16:44 UTC;567
Arizona Sunshine;Arizona Sunshine v21876+1.6 -VRP (No DLC);com.vertigogames.azsq;21876;2023-05-05 11:14 UTC;4537
ARK and ADE;ARK and ADE v59+1.2 -VRP;com.CASTELLOInc.ARK_ADE_full;59;2023-06-06 19:29 UTC;2022
Arrowhead - Medieval Archery VR;Arrowhead - Medieval Archery VR v5+1.0.1 -VRP;com.kilogrames.arrowheadmedievalarcheryvr;5;2023-08-16 12:19 UTC;252
Arrows;Arrows v2+1.2.7 -VRP R2;com.aura.Arrows;2;2023-04-17 16:46 UTC;609
Art of Combat;Art of Combat v14+1.0.3a -VRP;com.FrogandSkull.ArtofCombatDemo;14;2023-08-19 18:08 UTC;416
Art Plunge;Art Plunge v202107012+202107012 -VRP;com.spaceplunge.artplungeoq;202107012;2023-04-25 11:53 UTC;338
Art Studio VR;Art Studio VR v70+0.2.961 -VRP;com.DanielyAna.ArtstudioVR;70;2023-08-16 12:19 UTC;127
Ashtar UFO;Ashtar UFO v1+1.0 -unknown;com.test.mj12;1;2023-03-09 12:57 UTC;460
