Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Cooking Simulator VR;Cooking Simulator VR v10401+1.4.1 -NIF;com.gameboomvr.CookingSimulatorVR;10401;2023-07-21 11:07 UTC;3777
Copter Strike VR;Copter Strike VR v1805+1.80.5 -VRP;com.HyperGamey.CopterStrikeVR;1805;2023-07-11 13:36 UTC;1130
Cosmic Storm Attack;Cosmic Storm Attack v20+0.40 -VRP;com.LostErrorStudios.CosmicStorm;20;2023-04-17 17:47 UTC;173
Cosmic Sugar;Cosmic Sugar v7+3 -VRP;com.LightClinic.CosmicSugar;7;2023-08-16 18:42 UTC;226
Cosmic Survivor;Cosmic Survivor v30+1.1.2 -VRP;com.KitSumo.CosmicSurvivor;30;2023-07-03 13:54 UTC;234
Cosmodread;Cosmodread v10028+1.0.0.28 -NIF;com.WhiteDoorGames.Cosmodread;10028;2023-06-09 12:08 UTC;750
Cosmonious High;Cosmonious High v1683+27729 -VRP;com.OwlchemyLabs.CosmoniousHigh;1683;2023-10-11 11:17 UTC;1054
Cosmos Crash;Cosmos Crash v4+1.0.4 -VRP;com.supzero.vr.quest.CosmosCrash;4;2023-08-16 18:42 UTC;214
Counter Fight ICHIRAN;Counter Fight ICHIRAN v96+1.1.0_96 -VRP;jp.tricol.IchiranVR;96;2023-04-25 11:53 UTC;622
Cover Drive Cricket;Cover Drive Cricket v693+1.31.0 -VRP;io.mphillips.CoverDriveCricket22;693;2023-09-22 14:12 UTC;419
CPR Simulator;CPR Simulator v3+2.01 -NIF;com.AATEVR.SundSim.CPR;3;2023-03-09 12:57 UTC;178
Crack the code;Crack the code v8+1.08 -VRP;com.artisoft.crackthecode;8;2023-09-01 10:55 UTC;151
Crash Course Coordination;Crash Course Coordination v6+1.6 -VRP;com.lobaki.c3q;6;2023-04-17 17:48 UTC;308
Crashland;Crashland v72+1.016 -VRP;com.LACGames.Crashland;72;2023-04-17 17:49 UTC;761
Crazy Cook;Crazy Cook v14+0.14 -VRP R2;com.junglevr.crazycookvrtest;14;2023-04-17 17:49 UTC;371
Crazy Croquet;Crazy Croquet v3+1.0.6 -VRP;de.selfox.crazycroquet;3;2023-07-16 15:46 UTC;71
Crazy Kung Fu;Crazy Kung Fu v114+1.0.1 -VRP;com.fieldofvision.crazykungfu;114;2023-06-26 13:34 UTC;619
Crazy World VR;Crazy World VR v1067+1.067 -VRP R2;com.pixelpimps.psn;1067;2023-04-17 17:50 UTC;433
Creed- Rise to Glory - Championship Edition;Creed- Rise to Glory - Championship Edition v373573+CRU-373573 -VRP;com.survios.Creed;373573;2023-09-26 16:05 UTC;3946
CricVRX - Virtual Cricket with Real Talents;CricVRX - Virtual Cricket with Real Talents v2+1.0.1 -VRP;com.skippyapps.cricvrx;2;2023-03-09 12:57 UTC;105
CricVRX Cricket - Virtual Sports Cricket Game;CricVRX Cricket - Virtual Sports Cricket Game v6+1.0.5 -VRP;com.skippyapps.cricvrx;6;2023-10-16 12:40 UTC;103
Crimen - Mercenary Tales;Crimen - Mercenary Tales v19506+1.1.1 -VRP;com.epicgames.Crimen;19506;2023-07-19 14:53 UTC;3179
Crisis Brigade 2 reloaded;Crisis Brigade 2 reloaded v211+2.11 -VRP;com.sumalab.CrisisBrigade2reloaded;211;2023-09-26 16:05 UTC;5370
Crisis VRigade;Crisis VRigade v30+1.30 -VRP;com.sumalab.CrisisVRigade;30;2023-03-09 12:57 UTC;1094
Crop Craze- Farming Simulator;Crop Craze- Farming Simulator v132+1.3.2 -VRP;com.PicoPlanetDeveloping.FarmGame;132;2023-04-17 17:50 UTC;70
Crunchies;Crunchies v3+1.02 -VRP;space.VROOM.Crunchies;3;2023-08-16 18:42 UTC;2004
CubeHook;CubeHook v7+1.4.1 -VRP;com.ArcarveStudio.CubeHook;7;2023-08-16 18:42 UTC;213
Cubism;Cubism v234+1.6.1 -VRP;com.tvb.cubism;234;2023-04-17 17:51 UTC;117
Cueist 2;Cueist 2 v10+1.17 -VRP R2;com.Saitarasoft.new2021poolgame;10;2023-04-17 17:51 UTC;259
CURSED NIGHT - The House;CURSED NIGHT - The House v35+3.5 -VRP;com.VRPIRATES.CursedNightTheHouse;35;2023-04-17 17:39 UTC;343
Custom Home Mapper;Custom Home Mapper v1+0.1 -VRP;com.curiousvr.customhomemapper;1;2023-08-16 18:42 UTC;381
Cyber Cycle;Cyber Cycle v1+0.1 -unknown;com.syntheon.cc2;1;2023-03-09 12:57 UTC;167
CYBER TENNIS;CYBER TENNIS v224+1.7.9 -VRP;jp.co.techarts.cybertennis;224;2023-04-17 17:40 UTC;719
Cybrix;Cybrix v30+0.9.80 -VRP;com.holonautic.cybrix;30;2023-10-13 16:47 UTC;538
D&I Perspectives;D&I Perspectives v19+1.0 -VRP;com.MakeReal.DiversityInclusionAppLab;19;2023-04-17 17:52 UTC;530
Daedalus;Daedalus v3+1.0.002 -VRP R2;com.VerticalRobot.DaedalusQuest;3;2023-04-17 17:52 UTC;901
Dance Central;Dance Central v131786901+1.2.2 -VRP;com.HarmonixMusic.DCVRQuest;131786901;2023-06-12 11:27 UTC;2885
Dance Collider;Dance Collider v9+1.0 -VRP;com.EmergeWorlds.DanceCollider;9;2023-08-16 18:42 UTC;825
Dance Dance Maker;Dance Dance Maker v9+0.9 -unknown;com.novia.vr.ddm;9;2023-03-09 12:57 UTC;709
Dance workout VR(Junior);Dance workout VR(Junior) v4+4 -FFA;jijia.DanceWorkout.DanceWorkoutVR;4;2023-03-09 12:57 UTC;471
Dancing Arrow;Dancing Arrow v9+9.1 -VRP;geniesoft.io.DancingArrow;9;2023-08-16 18:42 UTC;304
DANGER- ELECTRIC SHOCK;DANGER- ELECTRIC SHOCK v3+1.0 -VRP;com.Danger.Electric.Shock;3;2023-04-17 17:52 UTC;122
Dark Den;Dark Den v20+0.9.2 -VRP;com.PastelcubeTechnologiesPvtLtd.DarkDen;20;2023-07-17 20:33 UTC;1739
Dark Harvest;Dark Harvest v1+1 -VRP;com.KitungoStudios.DarkHarvest;1;2023-08-15 21:05 UTC;528
Darksword- Battle Eternity;Darksword- Battle Eternity v25+1.4.0.2 -VRP;com.com2usroca.Darksword;25;2023-10-06 11:20 UTC;4039
Darts Battle VR;Darts Battle VR v147+1.0 -VRP;com.dartsbattlevr.taskoob;147;2023-04-17 17:55 UTC;173
DAVID;DAVID v15+2023.02.17_R15 -VRP;com.twoguys.david;15;2023-09-11 19:40 UTC;480
David Slade Mysteries- Case Files;David Slade Mysteries- Case Files v37+3.3c -VRP;com.GearWorxProductions.DSMCaseFiles;37;2023-10-11 11:17 UTC;2443
Dead and Buried II;Dead and Buried II v3008396+2.0.8396 -VRP;com.oculus.dab2;3008396;2023-04-17 18:00 UTC;1645
Dead Effect 2;Dead Effect 2 v1700000087+210517.1355 -VRP R2;com.badflyinteractive.deadeffect2;1700000087;2023-04-17 17:55 UTC;2891
Dead Hook;Dead Hook v377+1.3.7.7 -VRP;com.JoyWay.DeadHook;377;2023-10-26 14:15 UTC;2095
Dead Second;Dead Second v138+0.70 -VRP R2;com.spunge.projectshooter;138;2023-04-25 11:53 UTC;2389
Dead Secret Circle;Dead Secret Circle v249+1.0 -VRP R2;com.robotinvader.ds2;249;2023-04-17 17:59 UTC;1435
Dear Friend;Dear Friend v42+3.2 -VRP;com.TranscenderStudiosDearFriend.DearFriend;42;2023-10-29 14:13 UTC;1115
Dear Santa VR;Dear Santa VR v857+1 -Unknown;com.alice.games.dear.santa;857;2023-03-09 12:57 UTC;292
Death Horizon- Reloaded;Death Horizon- Reloaded v164+0.9.44 -VRP;com.dreamdev.deathhorizon.quest;164;2023-10-20 12:07 UTC;1679
Death Lap;Death Lap v936+9.36 -VRP R2;com.ozwe.deathlap;936;2023-04-17 18:02 UTC;1700
Deceptive Reality;Deceptive Reality v73+0.2.4.0 -VRP;com.QuarantineStudios.DeceptiveReality;73;2023-10-19 13:33 UTC;3144
Defibrillator Simulator;Defibrillator Simulator v2+1.0.2 -NODRM;com.ChalkBites.DefibrillatorQuest;2;2023-03-09 12:57 UTC;388
Deisim;Deisim v143+1.42.1 -VRP;com.MyronSoftware.Deisim;143;2023-10-10 13:19 UTC;485
Demeo;Demeo v132232372+1.32.232372-release -VRP;com.resolutiongames.demeo;132232372;2023-10-24 19:35 UTC;2168
Descending;Descending v5+1.62 -VRP;com.DungeonGames.Descending;5;2023-04-17 18:03 UTC;823
Descent Alps;Descent Alps v44+0.5.3 -VRP;com.Sutur.DescentAlps;44;2023-04-17 18:03 UTC;429
Desperate- Vladivostok;Desperate- Vladivostok v65+1.0 -VRP;com.PM.Vladivostok;65;2023-04-17 18:05 UTC;2238
Deus Ex Machina- Episode 1;Deus Ex Machina- Episode 1 v5+1.5 -VRP;com.Looksten.DEM_Q_Ep100;5;2023-08-15 21:05 UTC;1439
Directive Nine;Directive Nine v5+0.2.3 -VRP;com.rooftoppanda.directivenine;5;2023-04-17 18:05 UTC;122
Disc Benders- Ace Run;Disc Benders- Ace Run v14+1.3.32 -VRP;com.FreeFallStudios.DiscBenders;14;2023-08-16 18:42 UTC;597
Disc Ninja;Disc Ninja v1071+Q.1071 -VRP;com.Immersion.NinjaChallenge;1071;2023-04-17 18:05 UTC;924
DiscGolfVR;DiscGolfVR v1+0.1 -unknown;com.AlexV.DiscGolfVR;1;2023-03-09 12:57 UTC;133
Discovery;Discovery v34+2.0.0.0 -VRP R2;com.noowanda.discovery;34;2023-04-14 17:05 UTC;58
Dissection Simulator- Cat Edition;Dissection Simulator- Cat Edition v1+1.0 -VRP;com.VictoryXR.CatDissection;1;2023-08-15 21:05 UTC;1360
Dissection Simulator- Frog Edition;Dissection Simulator- Frog Edition v2+1.0 -VRP;com.VictoryXR.FrogDissectionQuest;2;2023-08-16 18:42 UTC;624
Dissection Simulator- Invertebrate Edition;Dissection Simulator- Invertebrate Edition v10+1.0 -VRP;com.VictoryXR.SquidDissection;10;2023-08-15 21:05 UTC;998
Dissection Simulator- Pig Edition;Dissection Simulator- Pig Edition v2+1.0 -VRP;com.VictoryXR.PigDissection;2;2023-08-15 21:05 UTC;1145
Dissection Simulator- Shark Edition;Dissection Simulator- Shark Edition v100+1.0 -VRP;com.VictoryXR.DogfishDissection;100;2023-08-15 21:05 UTC;1238
District M;District M v19+1.1 -VRP;com.FeelGoodGames.DistrictM;19;2023-04-25 11:53 UTC;516
Do U Copy;Do U Copy v19200+1.8.12 -VRP;com.freaks_united_game_studio.vr.do_u_copy;19200;2023-08-16 18:42 UTC;450
Doctor Who The Edge of Time;Doctor Who The Edge of Time v368+368 -VRP;com.mazetheory.doctorwho;368;2023-04-17 18:07 UTC;1382
Dodgeblock;Dodgeblock v30+3.0 -VRP;com.Vidler.DodgeblockVR;30;2023-04-17 18:41 UTC;118
Dogfight Elite;Dogfight Elite v200874+1.3.15 -VRP;com.echoboom.dogfightelite;200874;2023-08-14 14:17 UTC;310
Domino's Vice VR;Domino's Vice VR v1+1.0 -unknown;samsapps.games.dominovr;1;2023-03-09 12:57 UTC;59
Donkey Kong VR;Donkey Kong VR v2+2.0 -VRP;com.OwlStudioGames.DonkeyKongVR;2;2023-08-16 18:42 UTC;248
Doom3Quest;Doom3Quest v27+1.2.3-HD -DrBeef;com.drbeef.doom3quest;27;2023-10-23 12:20 UTC;8775
DoVille;DoVille v102009282+1.2.0.9282 -ITCH;com.ProjectWhitecard.SunnyDay;102009282;2023-03-09 12:57 UTC;1056
Down the Rabbit Hole;Down the Rabbit Hole v430+01.03 -VRP;com.CortopiaStudios.DTRH;430;2023-04-17 18:07 UTC;672
Dr. Zaney's Insane Labs;Dr. Zaney's Insane Labs v2+1.1 -VRP;com.GearWorxProductions.Dr.ZaneysInsaneLabs;2;2023-08-15 21:05 UTC;617
Dragon Fist VR Kung Fu;Dragon Fist VR Kung Fu v153+1.0.7 -VRP;com.BenOldingGames.DragonFistVRKungFu;153;2023-10-09 11:37 UTC;954
DrakaVR;DrakaVR v1+1 -unknown;com.Questeroid.DrakaVR;1;2023-03-09 12:57 UTC;58
Draw IT!;Draw IT! v6+0.9 -VRP R2;com.DrimEnt.DrawIT;6;2023-04-17 18:08 UTC;75
Dreadhalls;Dreadhalls v10619+1.6.19 -QU;com.WhiteDoorGames.DreadhallsQuest;10619;2023-03-09 12:57 UTC;241
Dream Tango;Dream Tango v113+1.4.3 -VRP;com.Uncloudy.DreamTangoAscensionDebugArena;113;2023-06-20 13:14 UTC;623
Driven;Driven v134+0.7 -VRP;com.MK1.DrivenFull;134;2023-10-27 13:16 UTC;1096
DroneLight;DroneLight v1+0.1 -unknown;com.dronelight.map1;1;2023-03-09 12:57 UTC;602
Drop Dead- Dual Strike Edition;Drop Dead- Dual Strike Edition v1735701705+1.6.0 -VRP;com.PixelToys.DropDead;1735701705;2023-10-11 11:17 UTC;1871
Drop Dead- The Cabin;Drop Dead- The Cabin v9501+2.0.1 -VRP;com.pixeltoys.cabin;9501;2023-10-27 13:16 UTC;1938
DrumBeats VR;DrumBeats VR v32+1.67g -VRP;com.VRROOM.DrumbeatsVR;32;2023-10-27 20:26 UTC;1374
DrumbeatsVR;DrumbeatsVR v12+1.25 -VRP;com.VRROOM.DrumbeatsVR;12;2023-04-17 18:11 UTC;952
Drums Rock;Drums Rock v90+1.060 -NIF;com.garage.drumsrock;90;2023-06-18 04:07 UTC;1468
Drunkn Bar Fight;Drunkn Bar Fight v10337+11.00 -VRP;com.themunky.drunknbarfightQuest;10337;2023-08-24 20:45 UTC;1950
Dungeon Chess;Dungeon Chess v58+0.0.60 -VRP;com.Experiment7.RealDungeonChess;58;2023-03-09 12:57 UTC;139
Dungeon Train;Dungeon Train v1+0.13.19 -unknown;com.brennanhatton.dungeontrain;1;2023-03-09 12:57 UTC;140
DvG- Conquering Giants;DvG- Conquering Giants v39+1.3.4 -VRP;com.Immersive.DvGQ;39;2023-08-16 18:42 UTC;1074
DVR Simulator;DVR Simulator v52+0.13.2 -FFA;net.demonixis.dvrsimulator;52;2023-03-09 12:57 UTC;434
DYSCHRONIA- Chronos Alternate;DYSCHRONIA- Chronos Alternate v233+2.1.15 -VRP;com.MyDearest.DyschroniaCA;233;2023-10-30 16:58 UTC;5263
EarthQuest;EarthQuest v150+150 -VRP;com.bowie.earthquest;150;2023-10-24 19:02 UTC;132
EDMUND PUZZLE AND THE MYSTERY OF THE SACRED RELICS;EDMUND PUZZLE AND THE MYSTERY OF THE SACRED RELICS v9+2.7 -VRP;com.TranscenderStudios.EdmundPuzzle;9;2023-10-29 14:13 UTC;424
ElectroBeats;ElectroBeats v14+1.14 -NIF;com.MirrorKey.ElectroBeats;14;2023-03-30 22:10 UTC;103
Electronauts;Electronauts v175667+175667 -VRP;com.survios.Electronauts;175667;2023-04-18 13:34 UTC;1300
Eleven goals;Eleven goals v18+1.18 -VRP;com.artisoft.elevengoals;18;2023-10-16 12:40 UTC;183
Eleven Table Tennis;Eleven Table Tennis v120730682+0.313.2_2023.10.29.8.18.2.560 -VRP;quest.eleven.forfunlabs;120730682;2023-10-30 16:52 UTC;874
Elven Assassin;Elven Assassin v185+1.8.0_OculusQuest -VRP;com.WenklyStudio.ElvenAssassin;185;2023-10-30 00:34 UTC;3698
Elysium Trials;Elysium Trials v88+1.02 -VRP;com.DefaultCompany.BEFullOptimized;88;2023-10-16 12:40 UTC;1855
End of Night;End of Night v4+0.1.3 -VRP;com.Makropol.EndOfNight;4;2023-06-07 16:53 UTC;2691
End Space;End Space v26+1.0.6.1 -VRP R2;com.endspace.quest;26;2023-04-18 01:05 UTC;619
Energysaber Masta VR;Energysaber Masta VR v41+1.17 -VRP;com.dreamteammobile.LightsaberMastaVR;41;2023-08-15 21:05 UTC;236
Eolia;Eolia v11144+34.0 -VRP;com.ROTU.Eolia;11144;2023-06-18 13:44 UTC;3873
Epic Roller Coasters;Epic Roller Coasters v5182+7.1.80 -VRP;games.b4t.epicrollercoasters.oculus;5182;2023-04-18 12:50 UTC;8260
Epic Roller Coasters;Epic Roller Coasters v5182+7.1.80 -VRP (Multi-Install);games.b4t.epicrollercoasters;5182;2023-06-01 11:35 UTC;8260
Epiviosis;Epiviosis v4+1 -VRP;com.KMEntertainment.Epiviosis;4;2023-08-17 12:02 UTC;341
Escape from bunker;Escape from bunker v42+2.0.1 -VRP;com.DerekComp.EscapeRoom;42;2023-06-20 13:14 UTC;1691
Escape From Dungeon;Escape From Dungeon v4+1.1.5 -VRP;com.GoodNet.Escapeofdungeon;4;2023-08-17 12:02 UTC;2114
Escape From Galaxen;Escape From Galaxen v111+1.0.111_Premium -VRP;com.BilleteCohete.EscapeFromGalaxenPlus;111;2023-09-05 12:20 UTC;522
Escape from Nefertiti's Tomb;Escape from Nefertiti's Tomb v113+1.0 -VRP;com.WisEDRL.TER;113;2023-08-17 12:02 UTC;1060
Escape Legacy;Escape Legacy v37+1.35 -VRP;com.StormingTech.EscapeLegacySideQuest;37;2023-04-18 01:05 UTC;658
Escape Room - Mysteries of Egypt;Escape Room - Mysteries of Egypt v3+0.3 -VRP;com.MadCreativeSolutions.EscapeRoomMysteriesofEgypt;3;2023-03-09 12:57 UTC;239
Escape Room Online;Escape Room Online v8+1.0.0 -VRP;com.skonec.ero;8;2023-07-21 11:07 UTC;1188
Escape Room VR;Escape Room VR v31+3.0 -NIF;com.Viral.EscapeRoom;31;2023-06-09 17:24 UTC;152
Escape Room- Bank Robbery Gone Wrong;Escape Room- Bank Robbery Gone Wrong v95+1.5.0 -VRP;com.Vasil4N.EscapeRoomBankRobberyGoneWrong;95;2023-04-18 13:35 UTC;333
Escape Room- Gone Man;Escape Room- Gone Man v204+2.04 -VRP;com.vr.escape.puzzle.mystery.exploration;204;2023-06-28 22:07 UTC;866
Escape The Impossible;Escape The Impossible v2+1.1 -VRP;com.LemondoGames.EscapeTheImpossible;2;2023-08-09 15:38 UTC;420
Escape!;Escape! v2+1.01 -unknown;com.Robbin12392.Escape;2;2023-03-09 12:57 UTC;96
Esper 2;Esper 2 v51+1.8 -VRP;com.coatsink.esper2;51;2023-07-16 13:23 UTC;372
Espire 1- VR Operative;Espire 1- VR Operative v1745+1.9.166 -VRP;com.DigitalLode.Espire1;1745;2023-08-17 12:02 UTC;4137
Espire 2- Stealth Operatives;Espire 2- Stealth Operatives v8824+1.6.197 -VRP;com.DigitalLode.Espire2;8824;2023-10-12 17:26 UTC;13060
Eternal Starlight;Eternal Starlight v967+1.6.21 -VRP;com.wnas.eternalstarlight;967;2023-10-16 12:40 UTC;485
EVERSLAUGHT Invasion;EVERSLAUGHT Invasion v325+1.2.0 -VRP;com.MobXGames.EVERSLAUGHT.Invasion;325;2023-07-05 12:43 UTC;2344
Everyday Inclusion;Everyday Inclusion v20102+2.1.2 -VRP;com.equalreality.everydayinclusion;20102;2023-08-17 12:19 UTC;266
Evryway Visualiser;Evryway Visualiser v180+0.180 -VRP;com.evryway.visualiser.oal;180;2023-09-22 14:12 UTC;91
Exit Condition One;Exit Condition One v1018+.999.18 -VRP;com.ExitConditions.ExitConditionOneFull;1018;2023-10-21 14:09 UTC;1156
eXRcise;eXRcise v1310+1.3.1 -VRP;com.TBF.exrcise_user;1310;2023-10-20 12:07 UTC;1057
Extreme Escape;Extreme Escape v15+1.0 -VRP R2;com.immersiongames.EscapeRoom;15;2023-04-18 01:05 UTC;427
exVRience Golf Club;exVRience Golf Club v193+1 -VRP;com.exvrience.exvriencegolfclubq;193;2023-04-18 01:05 UTC;1530
Eye of the Temple;Eye of the Temple v501+1.501 -VRP;com.RuneSkovboJohansen.EyeOfTheTemple;501;2023-10-20 12:07 UTC;227
Face Your Fears;Face Your Fears v99999999+1.2 -Unknown;com.sling;99999999;2023-03-09 12:57 UTC;469
Face Your Fears 2;Face Your Fears 2 v487009+1.0.487009 -VRP R2;gg.trs.fyf2;487009;2023-04-18 01:05 UTC;2263
Fail Factory!;Fail Factory! v57+1.0 -VRP R2;com.Armature.FailFactory;57;2023-06-18 13:43 UTC;1169
Falcon Age;Falcon Age v31+1.01 -VRP R2;com.OuterloopGames.FalconAge;31;2023-04-18 01:05 UTC;1224
Fantasy Hunter;Fantasy Hunter v1+1.0 -VRP;com.revolt.studios.fantasy.hunter;1;2023-08-17 12:19 UTC;158
Faraday's Magnets;Faraday's Magnets v28+0.54 -VRP;com.sciencevr.faraday;28;2023-08-17 12:02 UTC;199
Farming Tractor;Farming Tractor v10+1.0 -VRP;com.game.vr.tractor.farming;10;2023-05-25 20:07 UTC;671
Fast Formula;Fast Formula v1+1.0 -unknown;com.FastFormula.FastFormula;1;2023-03-09 12:57 UTC;382
Fear Dead House;Fear Dead House v12+1.01 -VRP;com.quest.tgs.vrghost;12;2023-04-18 01:05 UTC;93
Fear Within;Fear Within v2+2.0 -VRP;com.SAAPDigital.FearWithin;2;2023-08-17 12:02 UTC;1658
Fighting Clans;Fighting Clans v1+0.3.7 -VRP;com.xocus.fightingclans;1;2023-03-09 12:57 UTC;572
Figmin XR - Mixed Reality;Figmin XR - Mixed Reality v216+1.41.0.1 -VRP;com.overlay.figmin.prod;216;2023-10-19 13:33 UTC;209
FigureOut VR;FigureOut VR v1+1.0 -VRP;com.figureout.questvr;1;2023-08-15 21:05 UTC;48
Final Overs - VR Cricket;Final Overs - VR Cricket v94+0.88 -NIF;com.Mixeal.TheFinalOvers;94;2023-10-03 15:42 UTC;712
Final Space VR - The Rescue;Final Space VR - The Rescue v17+1.0 -VRP;com.grab.FinalSpaceVR;17;2023-04-18 01:05 UTC;3704
Finger Gun;Finger Gun v38+r1.2.2 -VRP;com.MiruStudio.FingerGun;38;2023-04-18 13:36 UTC;525
Fingers - Mini Games;Fingers - Mini Games v2+2.0 -FFA;com.dedm0zaj.FingersMiniGames;2;2023-03-09 12:57 UTC;189
Fire Extinguisher Simulator;Fire Extinguisher Simulator v2+1.0.1 -ITCH;com.ChalkBites.FireExtinguisherQuest;2;2023-03-09 12:57 UTC;352
Firedrake Crypts Of The Golem King;Firedrake Crypts Of The Golem King v18+18 -VRP;com.huesgfx.cogkq;18;2023-08-17 12:02 UTC;988
First Person Tennis - The Real Tennis Simulator;First Person Tennis - The Real Tennis Simulator v206+4.3 -VRP;com.mikorigames.firstpersontennis;206;2023-09-27 15:01 UTC;839
First Taste VR (18+);First Taste VR (18+) v200002+2 -VRP;com.sprinkler.FirstTasteVR;200002;2023-03-09 12:57 UTC;1765
FitnessBird;FitnessBird v39+1.0 -ITCH;com.FitnessBird.FitnessBird;39;2023-03-09 12:57 UTC;120
FitrisVR;FitrisVR v142+0.9 -VRP;com.funlifejapan.fitrisvr;142;2023-03-09 12:57 UTC;430
FitXR - Boxing, HIIT and Dance Workouts;FitXR - Boxing, HIIT and Dance Workouts v188+1.18 -unknown;com.fitxr.boxvr;188;2023-03-09 12:57 UTC;1203
Five Nights at Freddy's - Help Wanted;Five Nights at Freddy's - Help Wanted v219+1.0.6 -VRP;com.SteelWoolGames.fnafhw;219;2023-05-09 18:51 UTC;1830
Fix it Ralph;Fix it Ralph v2+2 -VRP;com.OwlStudioGames.FixitRalph;2;2023-03-09 12:57 UTC;384
Flappy Flappy VR;Flappy Flappy VR v3+1.0 -unknown;com.FlappyFlappyVR.www.VRmoo.cn;3;2023-03-09 12:57 UTC;115
Flight 74;Flight 74 v230+3.0.1 -VRP;com.FlightSystemsLLC.Flight74;230;2023-10-23 18:58 UTC;1675
Floating World EA;Floating World EA v29+1.5.03 -VRP;com.Miyagames.FW;29;2023-08-19 18:08 UTC;836
Floor Plan 2;Floor Plan 2 v225+2.0.1.1141 -VRP;com.turbobutton.fp2;225;2023-10-29 14:13 UTC;1459
Floor Plan Remastered;Floor Plan Remastered v53+1.0.3609 -VRP;com.turbobutton.floorplanremaster;53;2023-10-29 14:13 UTC;785
Flow Weaver;Flow Weaver v51+2.1 -VRP;ca.StitchMedia.FlowWeaver;51;2023-04-18 01:05 UTC;660
Flowborne - Breathing Meditation;Flowborne - Breathing Meditation v132+0.91 -VRP;com.br.flowborne;132;2023-03-09 12:57 UTC;242
Fly XR;Fly XR v1+0.01b -unknown;com.PlayHop.FlyXR;1;2023-03-09 12:57 UTC;137
flybye;flybye v3+1.2 -VRP;com.ElectricityStudios.flybye;3;2023-03-09 12:57 UTC;53
Food Flinger;Food Flinger v1+1.0 -Itch;com.DashingCape.FoodFlinger;1;2023-03-09 12:57 UTC;59
ForeVR Bowl;ForeVR Bowl v220+1.0.220 -QU;com.forevr.bowling;220;2023-03-09 12:57 UTC;1171
Forklift Simulator;Forklift Simulator v10+1.0.10 -VRP;com.Chalkbites.ForkliftSimulatorQuest;10;2023-03-09 12:57 UTC;717
FPS Enhanced Reality;FPS Enhanced Reality v19+1.9 -NIF;com.VirtualGoLLC.FPSEnhancedRealityV2;19;2023-07-19 14:53 UTC;1127
FREEDIVER- Triton Down;FREEDIVER- Triton Down v20+1.0 -VRP;com.Archiact.Freediver;20;2023-04-18 13:35 UTC;853
Frenzy VR;Frenzy VR v58+58 -NIF;com.InnoverseLtd.FrenzyVR;58;2023-03-09 12:57 UTC;2066
Frog & Froggie;Frog & Froggie v75+1.0.2 -VRP;com.CendaGames.FroggieJumpVR;75;2023-10-10 13:19 UTC;279
Fruit Ninja;Fruit Ninja v604322+1.7.2.604322 -VRP R2;com.halfbrick.fruitninjavr;604322;2023-04-18 13:37 UTC;441
Fruit Ninja 2;Fruit Ninja 2 v681486+1.10.1.681486 -VRP;com.halfbrick.fruitninjavr2;681486;2023-10-30 00:34 UTC;507
FTD- Find the Difference;FTD- Find the Difference v2+0.2 -VRP;com.nomadmonkey.FindTheDifference;2;2023-09-15 11:03 UTC;91
Fujii;Fujii v825+1.0 -QU (b);com.funktroniclabs.fuji;825;2023-03-09 12:57 UTC;380
Fun House;Fun House v2+1.1 -VRP;com.fairview.funhouse;2;2023-08-15 21:05 UTC;115
Fundamental Force;Fundamental Force v41+0.4 -FFA;com.TheRingRobotics.FundamentalForce_v2;41;2023-03-09 12:57 UTC;624
FunnyLand Amusement park;FunnyLand Amusement park v3+1.0 -NIF;com.Palvesoft.FunnyLandAmusementpark;3;2023-03-09 12:57 UTC;985
Futbolin Revolution;Futbolin Revolution v1+0.1 -unknown;com.Pixelfun.FutbolinRevolution;1;2023-03-09 12:57 UTC;358
Gadgeteer;Gadgeteer v90+1.1.3 -VRP R2;com.metanaut.Gadgeteer;90;2023-04-18 01:05 UTC;564
Galactic Bar Fight;Galactic Bar Fight v55+2.9 -NIF;com.jhjgames.barfightdemo;55;2023-07-01 15:42 UTC;720
Galactic Catch;Galactic Catch v715+1.29.230804 -VRP;com.baobabstudios.galacticcatch;715;2023-08-17 12:21 UTC;1009
Galactic Drift;Galactic Drift v40+1.3.3 -Unknown;com.curioso.galacticdriftvr;40;2023-03-09 12:57 UTC;309
Galactica;Galactica v3+1.0.0 -VRP;jatrix.quest.galactica;3;2023-08-27 19:18 UTC;69
GalactigunVR;GalactigunVR v14+1.0 -VRP;com.m80games.GalactigunVR;14;2023-06-08 11:24 UTC;119
Gambit;Gambit v1441+1441-Ship-54598 -Unknown;com.XrealGames.Gambit;1441;2023-05-30 12:36 UTC;3852
Garden of the Sea;Garden of the Sea v338+1.006009 -VRP;com.NeatCorporation.GardenoftheSea;338;2023-04-18 01:05 UTC;432
GAZZLERS;GAZZLERS v1023+1.2.0.7700 -VRP;com.BanzaiStudios.GAZZLERS;1023;2023-10-23 11:11 UTC;791
Gear Out;Gear Out v28+1.28 -VRP;com.forthinteract.gearout;28;2023-09-23 18:31 UTC;544
Genesis;Genesis v1+1.0 -VRP;com.FaberCourtial.Genesis;1;2023-06-29 13:12 UTC;104
Genotype;Genotype v731+1 -VRP;com.BolverkGames.GenotypeGame;731;2023-10-14 22:31 UTC;1471
